genomeNum,sbid,test1,test2,test3,test4,size
3,1,2,2,2,2,110
3,2,20,5,15,3,181
3,3,20,2,18,0,82
3,4,5,1,4,0,151
3,5,1,0,0,0,154
3,6,1,1,0,0,79
3,7,6,6,1,1,184
3,8,15,8,13,7,108
3,9,5,3,0,0,133
3,10,9,8,3,3,198
3,11,4,1,1,1,180
3,12,2,2,2,2,183
3,13,29,13,8,3,118
3,14,22,2,11,0,120
3,15,35,23,35,23,134
3,16,19,12,3,0,73
3,17,12,5,11,5,134
3,18,11,4,11,4,201
3,19,4,1,3,0,93
3,20,9,2,9,2,93
3,21,17,2,0,0,82
3,22,39,6,30,4,196
3,23,11,6,4,0,175
3,24,2,0,2,0,106
3,25,26,16,7,3,157
3,26,12,11,9,8,116
3,27,0,0,0,0,105
3,28,13,7,2,0,187
3,29,13,5,12,4,166
3,30,10,2,6,1,183
3,31,5,2,4,1,181
3,32,7,5,5,3,118
3,33,4,2,1,0,173
3,34,2,0,0,0,125
3,35,1,0,1,0,200
3,36,10,6,0,0,77
3,37,17,3,14,1,179
3,38,2,1,2,1,138
3,39,16,5,14,5,114
3,40,10,5,6,2,94
3,41,0,0,0,0,126
3,42,21,14,2,2,100
3,43,36,24,12,6,198
3,44,1,0,0,0,130
3,45,10,2,4,2,151
3,46,17,6,7,6,125
3,47,12,3,4,0,104
3,48,12,2,10,2,142
3,49,1,0,1,0,79
3,50,3,3,1,1,171
3,51,22,4,15,3,174
3,52,11,0,0,0,168
3,53,0,0,0,0,195
3,54,0,0,0,0,126
3,55,0,0,0,0,107
3,56,3,3,1,1,104
3,57,0,0,0,0,142
3,58,3,2,0,0,112
3,59,4,3,0,0,181
3,60,13,2,3,2,181
3,61,4,4,4,4,91
3,62,4,4,4,4,100
3,63,5,2,5,2,124
3,64,1,0,0,0,81
3,65,28,26,28,26,89
3,66,23,2,2,0,144
3,67,7,4,4,1,109
3,68,1,1,0,0,104
3,69,1,1,1,1,81
3,70,18,13,18,13,67
3,71,1,1,1,1,162
3,72,13,9,3,1,95
3,73,4,0,4,0,196
3,74,20,1,6,0,109
3,75,8,0,8,0,74
3,76,1,1,0,0,74
3,77,2,1,0,0,183
3,78,11,7,3,1,166
3,79,9,7,6,5,118
3,80,25,16,2,1,200
3,81,19,11,0,0,152
3,82,10,2,0,0,135
3,83,22,7,18,5,192
3,84,4,4,4,4,171
3,85,2,0,0,0,199
3,86,16,10,8,2,191
3,87,10,0,10,0,183
3,88,16,6,4,0,173
3,89,1,0,1,0,84
3,90,4,1,0,0,69
3,91,9,6,5,2,70
3,92,2,0,2,0,113
3,93,0,0,0,0,169
3,94,2,0,2,0,191
3,95,6,1,1,1,171
3,96,8,4,4,1,74
3,97,8,5,2,2,193
3,98,2,0,0,0,82
3,99,1,0,1,0,147
4,1,14,6,11,6,177
4,2,19,0,18,0,117
4,3,2,2,0,0,69
4,4,13,0,13,0,78
4,5,7,1,6,1,167
4,6,2,2,1,1,193
4,7,15,5,3,1,199
4,8,5,2,1,0,144
4,9,23,11,7,3,201
4,10,3,1,1,1,147
4,11,2,2,0,0,126
4,12,5,3,2,1,128
4,13,30,18,9,5,111
4,14,9,2,0,0,77
4,15,29,29,27,27,162
4,16,19,0,6,0,110
4,17,0,0,0,0,95
4,18,9,0,9,0,201
4,19,4,1,2,0,70
4,20,23,3,18,3,178
4,21,3,1,3,1,103
4,22,25,8,16,3,147
4,23,3,3,3,3,92
4,24,3,3,2,2,162
4,25,22,14,6,4,81
4,26,6,3,0,0,202
4,27,10,5,5,5,142
4,28,17,12,3,2,156
4,29,11,5,9,4,114
4,30,35,8,19,5,176
4,31,1,0,0,0,91
4,32,5,5,4,4,106
4,33,11,7,6,3,133
4,34,6,3,3,1,87
4,35,0,0,0,0,137
4,36,9,5,1,0,157
4,37,13,0,1,0,116
4,38,4,1,4,1,80
4,39,14,12,1,0,78
4,40,21,0,19,0,160
4,41,4,4,4,4,80
4,42,16,7,13,5,153
4,43,6,4,5,4,169
4,44,8,3,2,2,172
4,45,10,3,4,0,138
4,46,22,4,13,1,172
4,47,12,5,1,0,87
4,48,3,2,3,2,85
4,49,10,3,6,3,71
4,50,33,4,27,0,180
4,51,1,0,0,0,147
4,52,2,2,2,2,108
4,53,9,4,4,0,115
4,54,15,6,9,5,157
4,55,12,0,1,0,168
4,56,0,0,0,0,123
4,57,0,0,0,0,73
4,58,0,0,0,0,191
4,59,3,3,1,1,92
4,60,0,0,0,0,156
4,61,3,1,0,0,139
4,62,0,0,0,0,141
4,63,19,12,8,6,98
4,64,12,3,4,3,200
4,65,2,2,2,2,193
4,66,1,0,0,0,114
4,67,42,15,40,15,209
4,68,9,1,3,1,159
4,69,5,3,2,1,156
4,70,22,14,22,14,199
4,71,12,5,3,2,160
4,72,3,0,0,0,106
4,73,4,1,2,1,108
4,74,5,1,5,1,182
4,75,2,1,2,1,110
4,76,0,0,0,0,80
4,77,0,0,0,0,71
4,78,11,5,3,0,119
4,79,5,3,2,2,130
4,80,3,0,2,0,153
4,81,10,9,3,3,115
4,82,13,4,5,3,201
4,83,24,11,19,7,134
4,84,1,0,1,0,186
4,85,9,9,6,6,127
4,86,4,1,3,0,96
4,87,9,4,5,1,144
4,88,9,3,4,1,203
4,89,6,0,2,0,169
4,90,2,2,2,2,156
4,91,11,5,8,5,131
4,92,0,0,0,0,146
4,93,5,2,3,0,148
4,94,5,0,0,0,149
4,95,2,1,1,1,97
4,96,23,12,8,2,172
4,97,4,2,2,1,123
4,98,7,6,2,1,101
4,99,0,0,0,0,186
5,1,3,2,3,2,129
5,2,28,6,9,3,83
5,3,17,2,15,0,191
5,4,1,0,1,0,73
5,5,3,0,0,0,140
5,6,1,0,1,0,165
5,7,2,0,0,0,77
5,8,5,5,0,0,108
5,9,22,12,22,12,74
5,10,4,2,1,0,175
5,11,18,2,5,2,157
5,12,0,0,0,0,76
5,13,0,0,0,0,74
5,14,0,0,0,0,151
5,15,30,14,10,3,160
5,16,0,0,0,0,75
5,17,35,35,33,33,187
5,18,19,0,6,0,117
5,19,10,3,6,0,122
5,20,11,7,11,7,191
5,21,5,0,3,0,154
5,22,27,4,22,0,151
5,23,23,8,14,3,164
5,24,4,3,4,3,107
5,25,7,2,7,2,122
5,26,6,4,2,0,82
5,27,19,12,7,1,204
5,28,7,1,2,1,197
5,29,22,10,7,1,178
5,30,0,0,0,0,98
5,31,13,1,2,0,108
5,32,0,0,0,0,178
5,33,16,7,8,1,189
5,34,8,3,5,1,177
5,35,5,2,1,0,171
5,36,17,1,6,1,90
5,37,17,5,0,0,202
5,38,15,2,13,0,200
5,39,9,5,6,4,195
5,40,9,3,5,1,133
5,41,0,0,0,0,119
5,42,14,11,4,3,136
5,43,6,2,3,0,108
5,44,17,12,1,0,84
5,45,13,4,8,0,90
5,46,1,1,1,1,123
5,47,16,7,4,0,78
5,48,29,8,22,5,119
5,49,7,0,1,0,98
5,50,2,0,2,0,203
5,51,12,6,0,0,209
5,52,9,2,3,2,134
5,53,11,3,2,1,204
5,54,0,0,0,0,80
5,55,0,0,0,0,104
5,56,0,0,0,0,89
5,57,2,1,0,0,131
5,58,0,0,0,0,109
5,59,0,0,0,0,114
5,60,0,0,0,0,73
5,61,2,2,0,0,136
5,62,28,12,5,4,165
5,63,1,0,0,0,129
5,64,4,1,4,1,198
5,65,5,1,5,1,159
5,66,28,25,28,25,103
5,67,31,6,5,1,173
5,68,7,3,4,1,209
5,69,18,17,18,17,147
5,70,6,2,2,1,207
5,71,5,0,5,0,192
5,72,24,3,9,3,172
5,73,1,1,0,0,78
5,74,3,0,2,0,163
5,75,7,1,5,0,165
5,76,42,24,42,24,91
5,77,18,12,3,3,193
5,78,12,9,5,3,133
5,79,12,3,4,2,172
5,80,10,2,4,0,157
5,81,1,0,1,0,204
5,82,5,5,2,2,194
5,83,0,0,0,0,81
5,84,4,4,2,2,89
5,85,7,3,1,0,72
5,86,22,8,9,4,201
5,87,6,5,2,1,86
5,88,3,0,1,0,112
5,89,7,6,6,6,176
5,90,2,0,2,0,100
5,91,7,2,4,2,84
5,92,0,0,0,0,177
5,93,5,0,0,0,100
5,94,2,1,1,1,96
5,95,22,10,5,0,159
5,96,3,1,2,0,107
5,97,5,1,5,1,75
5,98,7,5,0,0,83
5,99,1,0,1,0,156
6,1,22,8,20,8,200
6,2,4,1,0,0,78
6,3,21,3,15,0,157
6,4,6,1,5,1,191
6,5,1,1,1,1,92
6,6,16,10,3,0,173
6,7,5,1,2,0,108
6,8,6,3,3,0,168
6,9,25,11,9,3,188
6,10,6,2,2,2,94
6,11,0,0,0,0,112
6,12,2,0,2,0,128
6,13,27,3,8,3,116
6,14,1,1,0,0,85
6,15,35,20,29,14,149
6,16,20,1,11,1,186
6,17,29,5,22,0,161
6,18,3,0,3,0,91
6,19,1,0,0,0,161
6,20,15,3,14,3,129
6,21,16,0,1,0,71
6,22,22,7,13,4,178
6,23,9,2,3,2,164
6,24,26,5,15,2,201
6,25,11,9,8,6,183
6,26,1,1,1,1,140
6,27,3,2,1,1,93
6,28,10,2,8,0,100
6,29,0,0,0,0,76
6,30,25,11,16,7,154
6,31,6,6,4,4,198
6,32,6,1,6,1,75
6,33,5,2,1,0,137
